id,name,brand,category,price,stock_quantity,specifications,image_url
1,HP Pavilion Gaming 15,HP,Gaming Laptop,425000,15,"Intel Core i5-11300H, 8GB RAM, 512GB SSD, NVIDIA GTX 1650, 15.6"" FHD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Pavilion
2,Dell Inspiron 15 3000,Dell,Budget Laptop,365000,25,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Inspiron
3,Lenovo ThinkPad E14,Lenovo,Business Laptop,520000,12,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 14"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+ThinkPad
4,HP EliteBook 840 G8,HP,Business Laptop,685000,8,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 14"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+EliteBook
5,Dell XPS 13 9310,Dell,Ultrabook,735000,6,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 13.3"" 4K OLED Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+XPS
6,Lenovo Legion 5 15ACH6H,Lenovo,Gaming Laptop,615000,10,"AMD Ryzen 5 5600H, 8GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6"" FHD 120Hz Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Legion
7,HP Spectre x360 14,HP,2-in-1 Laptop,695000,7,"Intel Core i7-1165G7, 16GB RAM, 1TB SSD, Intel Iris Xe Graphics, 13.5"" 3K2K OLED Touchscreen, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Spectre
8,Dell Latitude 5520,Dell,Business Laptop,465000,18,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Latitude
9,Lenovo IdeaPad 3 15ITL6,Lenovo,Budget Laptop,385000,22,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+IdeaPad
10,HP Omen 15-en1013dx,HP,Gaming Laptop,575000,14,"AMD Ryzen 7 5800H, 8GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6"" FHD 144Hz Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Omen
11,Dell Vostro 3510,Dell,Budget Laptop,395000,20,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Vostro
12,Lenovo ThinkBook 15 G2,Lenovo,Business Laptop,445000,16,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+ThinkBook
13,HP Envy 13-ba1010nr,HP,Ultrabook,585000,11,"Intel Core i7-1165G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 13.3"" FHD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Envy
14,Dell Precision 3560,Dell,Workstation,715000,5,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, NVIDIA Quadro T500, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Precision
15,Lenovo Yoga 7 14ITL5,Lenovo,2-in-1 Laptop,625000,9,"Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, 14"" FHD Touchscreen, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Yoga
16,HP Pavilion 15-eg0025nr,HP,Budget Laptop,375000,24,"Intel Core i3-1125G4, 8GB RAM, 256GB SSD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Pavilion
